673. шлем (a helmet)
674. шляпа (a hat)
675. шмель (a bumble-bee)
676. шов (a seam)
677. шоколад (a chocolate bar)
678. шорты (shorts)
679. шпага (a rapier)
680. шприц (a syringe)
681. штанга (barbells)
682. штора (a curtain)
683. шуба (a fur coat)
684. шуруп (a screw)
685. щека (a cheek)
686. щетка (1) (a brush)
687. щетка (2) (a tooth-brush)
688. щит (a shield)
689. юбка (a skirt)
690. юла (a humming top)
691. яблоко (an apple)
692. яйцо (an egg)
693. якорь (an anchor)
694. яма (a hole)
695. ящерица (a lizard)
696. ящик (a box)
